NewImageName,NewAudioName,Experiment,Group,ImageObjectLeft,ImageObjectRight,PicGenderLeft,PicGenderRight,PicGender,AgentGender,AudioPronoun,AudioSide,AudioNoun,TestSentence,ReferPosition,PronounOnset,LROnset,NounOnset,SentenceOffset,Questions,SQsmatch,ExperimentKind
NN_BG0_SB0_F.png,G_L_SB0_F.wav,2,A,饼干,鼠标,neutral,neutral,Neutral,FYQ,Girl,Left,鼠标,女孩左边是一个鼠标,Right,0,753,3264,4500,图片中是否存在句子中提及的物体,yes,Formal
NN_BBT_HLJ_F.png,G_L_HLJ_F.wav,2,A,棒棒糖,红辣椒,neutral,neutral,Neutral,FYQ,Girl,Left,红辣椒,女孩左边是一个红辣椒,Right,0,753,3264,4500,图片中是否存在句子中提及的物体,yes,Formal
NN_TT0_YT0_F.png,G_L_YT0_F.wav,2,A,甜筒,油条,neutral,neutral,Neutral,FYQ,Girl,Left,油条,女孩左边是一个油条,Right,0,753,3264,4500,图片中是否存在句子中提及的物体,yes,Formal
NN_QKL_YMQ_F.png,G_L_YMQ_F.wav,2,A,巧克力,羽毛球,neutral,neutral,Neutral,FYQ,Girl,Left,羽毛球,女孩左边是一个羽毛球,Right,0,753,3264,4500,图片中是否存在句子中提及的物体,yes,Formal
NN_KX0_LT0_F.png,G_L_LT0_F.wav,2,A,烤箱,辣条,neutral,neutral,Neutral,FYQ,Girl,Left,辣条,女孩左边是一个辣条,Right,0,753,3264,4500,图片中是否存在句子中提及的物体,yes,Formal
NN_DG0_HG0_F.png,G_R_DG0_F.wav,2,A,蛋糕,火锅,neutral,neutral,Neutral,FYQ,Girl,Right,蛋糕,女孩右边是一个蛋糕,Left,0,753,3264,4500,图片中是否存在句子中提及的物体,yes,Formal
NN_BLT_CDQ_F.png,G_R_BLT_F.wav,2,A,便利贴,充电器,neutral,neutral,Neutral,FYQ,Girl,Right,便利贴,女孩右边是一个便利贴,Left,0,753,3264,4500,图片中是否存在句子中提及的物体,yes,Formal
NN_YT0_MF0_F.png,G_R_YT0_F.wav,2,A,樱桃,米饭,neutral,neutral,Neutral,FYQ,Girl,Right,樱桃,女孩右边是一个樱桃,Left,0,753,3264,4500,图片中是否存在句子中提及的物体,yes,Formal
NN_WZ0_HJ0_F.png,G_R_WZ0_F.wav,2,A,袜子,花卷,neutral,neutral,Neutral,FYQ,Girl,Right,袜子,女孩右边是一个袜子,Left,0,753,3264,4500,图片中是否存在句子中提及的物体,yes,Formal
NN_GJ0_BM0_F.png,G_R_GJ0_F.wav,2,A,果酒,斑马,neutral,neutral,Neutral,FYQ,Girl,Right,果酒,女孩右边是一个果酒,Left,0,753,3264,4500,图片中是否存在句子中提及的物体,yes,Formal
NN_MP0_YW0_F.png,G_R_MP0_F.wav,2,A,麦片,鹦鹉,neutral,neutral,Neutral,FYQ,Girl,Right,麦片,女孩右边是一个麦片,Left,0,753,3264,4500,图片中是否存在句子中提及的物体,yes,Formal
NN_YDX_DRC_M.png,B_L_DRC_M.wav,2,B,运动鞋,单人床,neutral,neutral,Neutral,YXY,Boy,Left,单人床,男孩左边是一个单人床,Right,0,753,3264,4500,图片中是否存在句子中提及的物体,yes,Formal
NN_SZ0_HG0_M.png,B_L_HG0_M.wav,2,B,狮子,黄瓜,neutral,neutral,Neutral,YXY,Boy,Left,黄瓜,男孩左边是一个黄瓜,Right,0,753,3264,4500,图片中是否存在句子中提及的物体,yes,Formal
NN_MZ0_BZ0_M.png,B_L_BZ0_M.wav,2,B,帽子,包子,neutral,neutral,Neutral,YXY,Boy,Left,包子,男孩左边是一个包子,Right,0,753,3264,4500,图片中是否存在句子中提及的物体,yes,Formal
NN_SB0_QB0_M.png,B_L_QB0_M.wav,2,B,手表,铅笔,neutral,neutral,Neutral,YXY,Boy,Left,铅笔,男孩左边是一个铅笔,Right,0,753,3264,4500,图片中是否存在句子中提及的物体,yes,Formal
NN_YX0_MM0_M.png,B_L_MM0_M.wav,2,B,雨靴,木门,neutral,neutral,Neutral,YXY,Boy,Left,木门,男孩左边是一个木门,Right,0,753,3264,4500,图片中是否存在句子中提及的物体,yes,Formal
NN_FC0_LB0_M.png,B_R_FC0_M.wav,2,B,帆船,萝卜,neutral,neutral,Neutral,YXY,Boy,Right,帆船,男孩右边是一个帆船,Left,0,753,3264,4500,图片中是否存在句子中提及的物体,yes,Formal
NN_SJJ_KG0_M.png,B_R_SJJ_M.wav,2,B,三脚架,苦瓜,neutral,neutral,Neutral,YXY,Boy,Right,三脚架,男孩右边是一个三脚架,Left,0,753,3264,4500,图片中是否存在句子中提及的物体,yes,Formal
NN_BXX_MHT_M.png,B_R_BXX_M.wav,2,B,保险箱,猕猴桃,neutral,neutral,Neutral,YXY,Boy,Right,保险箱,男孩右边是一个保险箱,Left,0,753,3264,4500,图片中是否存在句子中提及的物体,yes,Formal
NN_LC0_BZ0_M.png,B_R_LC0_M.wav,2,B,绿茶,杯子,neutral,neutral,Neutral,YXY,Boy,Right,绿茶,男孩右边是一个绿茶,Left,0,753,3264,4500,图片中是否存在句子中提及的物体,yes,Formal
NN_YS0_XG0_M.png,B_R_YS0_M.wav,2,B,雨伞,西瓜,neutral,neutral,Neutral,YXY,Boy,Right,雨伞,男孩右边是一个雨伞,Left,0,753,3264,4500,图片中是否存在句子中提及的物体,yes,Formal
NN_WY0_GQ0_M.png,B_R_WY0_M.wav,2,B,卫衣,钢琴,neutral,neutral,Neutral,YXY,Boy,Right,卫衣,男孩右边是一个卫衣,Left,0,753,3264,4500,图片中是否存在句子中提及的物体,yes,Formal
NN_JXL_UP0_F.png,G_L_UP0_F.wav,2,B,金项链,U盘,neutral,neutral,Neutral,FYQ,Girl,Left,U盘,女孩左边是一个U盘,Right,0,753,3264,4500,图片中是否存在句子中提及的物体,yes,Formal
NN_EJ0_TS0_F.png,G_L_TS0_F.wav,2,B,耳机,图书,neutral,neutral,Neutral,FYQ,Girl,Left,图书,女孩左边是一个图书,Right,0,753,3264,4500,图片中是否存在句子中提及的物体,yes,Formal
NN_XK0_FZ0_F.png,G_L_FZ0_F.wav,2,B,袖扣,风筝,neutral,neutral,Neutral,FYQ,Girl,Left,风筝,女孩左边是一个风筝,Right,0,753,3264,4500,图片中是否存在句子中提及的物体,yes,Formal
NN_GB0_NG0_F.png,G_L_NG0_F.wav,2,B,钢笔,南瓜,neutral,neutral,Neutral,FYQ,Girl,Left,南瓜,女孩左边是一个南瓜,Right,0,753,3264,4500,图片中是否存在句子中提及的物体,yes,Formal
NN_LH0_TZ0_F.png,G_L_TZ0_F.wav,2,B,老虎,桃子,neutral,neutral,Neutral,FYQ,Girl,Left,桃子,女孩左边是一个桃子,Right,0,753,3264,4500,图片中是否存在句子中提及的物体,yes,Formal
NN_JP0_PG0_F.png,G_L_PG0_F.wav,2,B,键盘,苹果,neutral,neutral,Neutral,FYQ,Girl,Left,苹果,女孩左边是一个苹果,Right,0,753,3264,4500,图片中是否存在句子中提及的物体,yes,Formal
NN_DN0_XJ0_F.png,G_R_DN0_F.wav,2,B,电脑,香蕉,neutral,neutral,Neutral,FYQ,Girl,Right,电脑,女孩右边是一个电脑,Left,0,753,3264,4500,图片中是否存在句子中提及的物体,yes,Formal
NN_FJ0_BC0_F.png,G_R_FJ0_F.wav,2,B,飞机,白菜,neutral,neutral,Neutral,FYQ,Girl,Right,飞机,女孩右边是一个飞机,Left,0,753,3264,4500,图片中是否存在句子中提及的物体,yes,Formal
NN_YX0_MB0_F.png,G_R_YX0_F.wav,2,B,音响,面包,neutral,neutral,Neutral,FYQ,Girl,Right,音响,女孩右边是一个音响,Left,0,753,3264,4500,图片中是否存在句子中提及的物体,yes,Formal
NN_PPQ_FQ0_F.png,G_R_PPQ_F.wav,2,B,乒乓球,番茄,neutral,neutral,Neutral,FYQ,Girl,Right,乒乓球,女孩右边是一个乒乓球,Left,0,753,3264,4500,图片中是否存在句子中提及的物体,yes,Formal
NN_CM0_CZ0_F.png,G_R_CM0_F.wav,2,B,草帽,橙子,neutral,neutral,Neutral,FYQ,Girl,Right,草帽,女孩右边是一个草帽,Left,0,753,3264,4500,图片中是否存在句子中提及的物体,yes,Formal
NN_NN0_YKQ_M.png,B_L_YKQ_M.wav,2,A,牛奶,遥控器,neutral,neutral,Neutral,YXY,Boy,Left,遥控器,男孩左边是一个遥控器,Right,0,753,3264,4500,图片中是否存在句子中提及的物体,yes,Formal
NN_NL0_MJ0_M.png,B_L_MJ0_M.wav,2,A,奶酪,墨镜,neutral,neutral,Neutral,YXY,Boy,Left,墨镜,男孩左边是一个墨镜,Right,0,753,3264,4500,图片中是否存在句子中提及的物体,yes,Formal
